   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.1548000e+02   8.0485043e-01   2.1736246e-01   1.6124601e+00   5.2481430e-03
   1.1557000e+02   7.8895855e-01   2.1772161e-01   1.6124601e+00   5.2527207e-03
   1.1566000e+02   7.7760182e-01   2.1808105e-01   1.6124601e+00   5.2572984e-03
   1.1575000e+02   7.8014185e-01   2.1844079e-01   1.6124601e+00   5.2618762e-03
   1.1584000e+02   7.7244949e-01   2.1880083e-01   1.6124602e+00   5.2664539e-03
   1.1593000e+02   7.7704687e-01   2.1916116e-01   1.6124602e+00   5.2710317e-03
   1.1602000e+02   7.8004891e-01   2.1952179e-01   1.6124602e+00   5.2756095e-03
   1.1611000e+02   7.6652784e-01   2.1988271e-01   1.6124602e+00   5.2801873e-03
   1.1620000e+02   7.5398522e-01   2.2024394e-01   1.6124602e+00   5.2847652e-03
   1.1629000e+02   7.4458470e-01   2.2060545e-01   1.6124602e+00   5.2893430e-03
   1.1638000e+02   7.2508240e-01   2.2096727e-01   1.6124602e+00   5.2939209e-03
   1.1647000e+02   7.2291223e-01   2.2132938e-01   1.6124603e+00   5.2984988e-03
   1.1656000e+02   7.3872179e-01   2.2169179e-01   1.6124603e+00   5.3030768e-03
   1.1665000e+02   7.3213446e-01   2.2205449e-01   1.6124603e+00   5.3076547e-03
   1.1674000e+02   7.2439722e-01   2.2241749e-01   1.6124603e+00   5.3122327e-03
   1.1683000e+02   7.3108113e-01   2.2278079e-01   1.6124603e+00   5.3168107e-03
   1.1692000e+02   7.2087045e-01   2.2314438e-01   1.6124603e+00   5.3213887e-03
   1.1701000e+02   7.1083113e-01   2.2350827e-01   1.6124603e+00   5.3259668e-03
   1.1710000e+02   7.2974822e-01   2.2387246e-01   1.6124604e+00   5.3305448e-03
   1.1719000e+02   7.3652373e-01   2.2423694e-01   1.6124604e+00   5.3351229e-03
   1.1728000e+02   7.3793163e-01   2.2460172e-01   1.6124604e+00   5.3397010e-03
   1.1737000e+02   7.3362966e-01   2.2496680e-01   1.6124604e+00   5.3442792e-03
   1.1746000e+02   7.1993699e-01   2.2533217e-01   1.6124604e+00   5.3488573e-03
   1.1755000e+02   6.9802706e-01   2.2569784e-01   1.6124604e+00   5.3534355e-03
   1.1764000e+02   7.0954864e-01   2.2606381e-01   1.6124605e+00   5.3580137e-03
   1.1773000e+02   7.1133330e-01   2.2643007e-01   1.6124605e+00   5.3625919e-03
   1.1782000e+02   7.2427545e-01   2.2679663e-01   1.6124605e+00   5.3671701e-03
   1.1791000e+02   7.2954328e-01   2.2716348e-01   1.6124605e+00   5.3717484e-03
   1.1800000e+02   7.1548845e-01   2.2753063e-01   1.6124605e+00   5.3763267e-03
   1.1809000e+02   7.0486324e-01   2.2789808e-01   1.6124605e+00   5.3809050e-03
   1.1818000e+02   7.1483251e-01   2.2826582e-01   1.6124605e+00   5.3854833e-03
   1.1827000e+02   7.1306840e-01   2.2863386e-01   1.6124606e+00   5.3900616e-03
   1.1836000e+02   7.1904818e-01   2.2900220e-01   1.6124606e+00   5.3946400e-03
   1.1845000e+02   7.3344408e-01   2.2937084e-01   1.6124606e+00   5.3992184e-03
   1.1854000e+02   7.2895736e-01   2.2973977e-01   1.6124606e+00   5.4037968e-03
   1.1863000e+02   7.1205955e-01   2.3010899e-01   1.6124606e+00   5.4083752e-03
   1.1872000e+02   7.0487120e-01   2.3047852e-01   1.6124606e+00   5.4129536e-03
   1.1881000e+02   7.0766835e-01   2.3084833e-01   1.6124607e+00   5.4175321e-03
   1.1890000e+02   7.1387192e-01   2.3121845e-01   1.6124607e+00   5.4221106e-03
   1.1899000e+02   7.1793164e-01   2.3158886e-01   1.6124607e+00   5.4266891e-03
   1.1908000e+02   7.2328206e-01   2.3195957e-01   1.6124607e+00   5.4312676e-03
   1.1917000e+02   7.2864292e-01   2.3233058e-01   1.6124607e+00   5.4358462e-03
   1.1926000e+02   6.9260620e-01   2.3270188e-01   1.6124607e+00   5.4404248e-03
   1.1935000e+02   6.7917667e-01   2.3307348e-01   1.6124607e+00   5.4450033e-03
   1.1944000e+02   6.7665091e-01   2.3344537e-01   1.6124608e+00   5.4495820e-03
   1.1953000e+02   6.6711132e-01   2.3381756e-01   1.6124608e+00   5.4541606e-03
