   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.1413000e+02   6.7848400e-01   3.6217666e-01   1.5968969e+00   8.9343020e-03
   1.1422000e+02   6.8473978e-01   3.6257397e-01   1.5968970e+00   8.9370554e-03
   1.1431000e+02   6.8803241e-01   3.6297151e-01   1.5968970e+00   8.9398099e-03
   1.1440000e+02   6.8442081e-01   3.6336925e-01   1.5968970e+00   8.9425654e-03
   1.1449000e+02   6.8347589e-01   3.6376722e-01   1.5968970e+00   8.9453219e-03
   1.1458000e+02   6.9363742e-01   3.6416541e-01   1.5968970e+00   8.9480794e-03
   1.1467000e+02   6.9099971e-01   3.6456381e-01   1.5968970e+00   8.9508380e-03
   1.1476000e+02   6.9295012e-01   3.6496243e-01   1.5968970e+00   8.9535976e-03
   1.1485000e+02   7.0122790e-01   3.6536127e-01   1.5968971e+00   8.9563581e-03
   1.1494000e+02   7.0064754e-01   3.6576032e-01   1.5968971e+00   8.9591197e-03
   1.1503000e+02   6.8627540e-01   3.6615959e-01   1.5968971e+00   8.9618824e-03
   1.1512000e+02   6.8792613e-01   3.6655909e-01   1.5968971e+00   8.9646460e-03
   1.1521000e+02   6.7927221e-01   3.6695879e-01   1.5968971e+00   8.9674106e-03
   1.1530000e+02   6.7552141e-01   3.6735872e-01   1.5968971e+00   8.9701762e-03
   1.1539000e+02   6.7104826e-01   3.6775887e-01   1.5968972e+00   8.9729428e-03
   1.1548000e+02   6.6622118e-01   3.6815923e-01   1.5968972e+00   8.9757105e-03
   1.1557000e+02   6.6157010e-01   3.6855981e-01   1.5968972e+00   8.9784791e-03
   1.1566000e+02   6.5270598e-01   3.6896061e-01   1.5968972e+00   8.9812487e-03
   1.1575000e+02   6.3849158e-01   3.6936162e-01   1.5968972e+00   8.9840193e-03
   1.1584000e+02   6.3381387e-01   3.6976286e-01   1.5968972e+00   8.9867909e-03
   1.1593000e+02   6.3500814e-01   3.7016431e-01   1.5968972e+00   8.9895635e-03
   1.1602000e+02   6.2722739e-01   3.7056598e-01   1.5968973e+00   8.9923370e-03
   1.1611000e+02   6.3753250e-01   3.7096786e-01   1.5968973e+00   8.9951116e-03
